folio,cuidados
2792,¿Me puede decir que todo está bien?
10750,¿Me pueden ayudar con la tarea o deporte?
10207,¿Me pueden ayudar con la tarea que no entiendo?
10323,¿Me pueden ayudar con la tarea? No la entiendo.
2336,¿Me pueden ayudar con mi tarea?
8338,¿Me pueden ayudar con mis problemas?
9825,¿Me pueden ayudar con mis problemas?
1035,¿Me pueden ayudar?
7670,¿Me pueden ayudar?
2703,¿Me pueden ayudar? 
6721,¿Me pueden ayudar? 
2557,¿Me pueden ayudar? 
40151,¿Me pueden ayudar? 
7986,¿Me pueden ayudar? 
9223,¿Me pueden ayudar? 
10590,¿Me pueden ayudar? 
6834,"¿Me pueden ayudar? Trato bien, etcétera."
245,¿Me pueden dar consejos?
7064,¿Me pueden dar sugerencias?
5367,"¿Me pueden decir si ya comí o qué tengo, o si me pasa algo?"
4457,¿Me pueden decir si ya estoy en mi casa o dónde estoy para asegurarse de que me encuentro bien?
11319,¿Me quieren mucho?
7784,"¿Me recuerdan mis tareas, actividades, etc.?"
8793,¿Me tratan bien o me defienden en situaciones peligrosas?
3348,¿Me vigilan o me observan?
3299,¿Me vigilan o nos están mirando fijamente?
91311,¿Mi hinkm?
11553,"¿No es posible, mamá o sustituta?"
3082,¿No lo dejas?
99211,¿No me acuerdo?
9046,¿Piensan en cómo me voy a sentir si actúan de mala manera o acaso también me cuidan físicamente?
332,¿Podrías regalarme un abrazo fuerte para que me haga sentir bien? ¿Podrías preguntarme qué tengo al verme mal o triste?
20201,¿Por qué esa persona está dañando su cuerpo y yo no?
6186,¿Por qué están atentos a lo que hago?
9698,"¿Por qué están conmigo, me ayudan y me cuidan, y por el hecho de ser aves, por ser mi familia?"
736,¿Por qué fue bueno?
2670,"¿Por qué me apoyan en todo, me dan consejos, etc.?"
10740,¿Por qué me apoyan?
3864,¿Por qué me cuidan mucho?
21001,¿Por qué me cuidan?
7434,¿Por qué me cuidan?
7435,¿Por qué me cuidan?
20071,¿Por qué me dan consejos?
3350,¿Por qué me dicen las cosas que están mal?
9276,¿Por qué me dicen?
11802,¿Por qué me hacen de comer y me compran mis cosas?
5441,"¿Por qué me preguntan cómo estoy, cómo me siento, cuándo salgo con amigos y familiares, y me mandan mensajes preguntando si voy a tardar o a qué hora voy a llegar, etc.?"
96611,¿Por qué me preguntan cómo estoy?
32621,¿Por qué me preguntan si estoy bien?
10260,"¿Por qué me protegen, me cuidan en cuestión de alimentación y me dicen que quieren lo mejor para mí?"
18871,¿Por qué me protegen?
10012,¿Por qué me quieren y se preocupan mucho por mí?
7010,¿Por qué me quieren?
8539,¿Por qué mis padres trabajan y me apoyan?
36531,¿Por qué mis papás me protegen de cualquier cosa? ¿Es porque sufro de asma?
818,¿Por qué mis papás me protegen de todo y me ayudan en lo que es necesario?
15222,¿Por qué no están enfermos?
901,¿Por qué no me dejan sola en mi casa?
5144,¿Por qué no se enferman a diario?
3559,"¿Por qué platican conmigo? Me dicen que están conmigo en las buenas y malas, me dedican tiempo diciéndome ""ten cuidado en lo que haces, en lo que hablas con las demás personas"", sea mi familia o amigos. Siempre están conmigo, y la verdad, yo los cuido. Estoy pendiente de mí en mis cosas y, la verdad, siempre voy a necesitar cuidado. En todo caso, más que nada, me cuido yo y me siento afortunada de mí misma, de lo que siento, y que cada vez estoy a un paso de seguir adelante conmigo misma, con mis apoyos. Más que nada, agradezco a mis papás que nunca me dejan sola, me cuidan y protegen ante todo. Les agradezco mucho lo que hacen por mí, y gracias igual a la encuesta que me hace sentir así."
4979,¿Por qué se me quedan viendo?
118210,¿Por qué se meten en mi vida o quieren hacerme sentir mal?
571,¿Por qué se preocupan por mí y por ello me apoyan y ayudan en todos mis logros o retos?
3456,¿Por qué siempre están ahí cuando quiero hacer algo y lo dudan?
4427,¿Por qué siempre me abren bien?
4109,¿Por qué siempre pasan tiempo conmigo y siempre me dan consejos para no HACER las cosas mal?
7587,¿Por qué son mayores que yo?
12232,¿Por qué una persona dice que no lo haga porque puede ser malo?
11509,"¿Por qué, mamá o sustituta?"
7658,¿Pregunta si estoy bien o mantengo comunicación?
5232,¿Preguntan por mi estado emocional o físico?
6347,¿Preguntan por mí si estoy bien o mal?
6348,¿Preguntan por mí? ¿Si estoy bien o mal?
3988,¿Preguntando cómo estoy de salud o cómo me siento?
14771,"¿Preguntarme cómo me siento? No sé, la mayoría del tiempo estoy solo, entonces no tengo amigos. Estoy mejor solo."
12041,¿Puede mandarme un mensaje para preguntar si estoy bien?
3063,¿Puede pasar algo malo?
6051,¿Pueden discernir cómo me siento o si me siento bien?
6731,¿Qué es bueno?
5008,¿Qué es eso conmigo?
11754,¿Qué es lo mejor?
11427,¿Qué es tan conmigo?
11129,"¿Qué es, abuela?"
11096,"¿Qué es, mamá o sustituta?"
101210,¿Qué está cerca de mí?
2163,¿Qué está pendiente de mí y de mis hermanos?
11130,"¿Qué está, abuela?"
115511,"¿Qué está, tío?"
15182,¿Qué están observando alrededor?
1930,¿Qué estoy haciendo?
2585,¿Qué hablan bonito?
11314,¿Qué hacen bien comer?
24551,¿Qué hice y qué hago?
3740,¿Qué les importo?
6916,¿Qué les interesa mi cuidado?
115411,¿Qué les preocupó?
12671,¿Qué materia va a mandar a la secundaria?
3135,¿Qué me abren bien? Y que no sean groseros.
11291,¿Qué me aconseja?
5368,¿Qué me aconsejan en situaciones que pueden ser malas y que pueden dañarme?
5350,¿Qué me aconsejan y me dicen qué está bien o qué está mal?
2869,¿Qué me aconsejan?
86511,¿Qué me aconsejan?
11388,¿Qué me apollen?
20421,¿Qué me ayuda?
34201,¿Qué me ayuda?
6608,¿Qué me cuida y qué no se separa de mí?
1120,¿Qué me dan de comer?
11234,¿Qué me darán de comer cuando llegue de la escuela?
2931,¿Qué me demuestra que me quieren?
7702,"¿Qué me demuestran que están para mí, me apoyan y cuidan en lo que hago?"
46411,¿Qué me dicen lo correcto?
10360,¿Qué me dicen o corrigen cuando hago algo mal?
100010,¿Qué me dicen qué es bueno para mí?
202,"¿Qué me dicen que está mal o lo que está bien? ¿Qué me dicen que está mal con quien me junto en la escuela, o quién sería buen novio para mí porque hacen cosas que me duelen?"
11465,¿Qué me dicen que está mal y qué no?
10135,¿Qué me dicen si está bien hacer o no hacer las cosas que quiero?
3108,"¿Qué me dicen si ya llegué a mi casa, cómo he estado?"
11542,"¿Qué me dicen, qué es mejor para mí, mamá o sustituta?"
1489,¿Qué me entiende?
1360,¿Qué me hace de comer?
13381,¿Qué me hacen de comer?
4030,¿Qué me hacen de comer?
11226,¿Qué me hacen reír?
1215,¿Qué me hagan muy feliz?
5140,¿Qué me impide hacer algo que está mal?
4235,¿Qué me impide hacer cosas malas para mí y mi salud?
1825,¿Qué me incluyen?
11482,¿Qué me motiva para seguir adelante?
1743,¿Qué me podría hacer daño?
3062,¿Qué me pregunten cómo estoy?
215,¿Qué me procuran mis padres?
1406,¿Qué me prohíben salir a tomar con mis amigas?
5435,¿Qué me queda cuando estoy un rato solo?
13642,¿Qué me quieren?
4532,¿Qué me quieren?
5735,¿Qué me quieren?
10134,¿Qué me quieren?
5857,¿Qué me recomiendan hacer o qué no hacer sin obligarme a no hacer lo que yo quiera?
11569,¿Qué me regalas?
8434,¿Qué me traen bien?
11672,¿Qué me van a decir muchos?
14501,¿Qué me vigilando?
1347,¿Qué meten de comer?
4085,¿Qué otras personas más pequeñas me piden ayuda para hacer algo?
601,¿Que para dónde yo vaya me acompaña un adulto?
7242,¿Qué preguntan cómo estoy?
4558,¿Qué puedo hacer para que no me molesten?
9574,¿Qué quieres comer?
10266,¿Qué saben cosas de mí?
493,¿Qué se fijan de mí cuando salgo?
30341,¿Qué se interesan en lo que hago?
118411,¿Qué se ponen conmigo?
5162,"¿Qué se preocupan por si ya comí?, ¿qué me están viendo si no he hecho algo malo?"
2385,¿Que se preocupe por mí?
11760,"¿Que se preocupen por mi salud, bienestar y felicidad?"
2317,¿Que se preocupen por mí?
2417,¿Que se preocupen por mí?
3516,¿Qué se preocupen por mí?
2517,¿Qué se preocupen por mí?
10381,¿Qué si me cuidan cuando lo necesito?
4073,¿Qué solo quieren que hable con ellos?
870,¿Qué son seguros?
5745,¿Qué tan seguido me preguntan cómo me encuentro?
10765,¿Qué te aconsejan de cosas que debo hacer y cosas que no debo hacer?
11538,¿Qué te dicen si está bien?
18431,¿Qué te importa? Jaja.
2770,¿Qué tengo que hacer para estar bien?
3097,¿Qué ven que no haga algo malo?
8872,¿Qué ven si tengo alguna duda de algo o si me siento mal?
2503,¿Qué?
2516,¿Qué?
1627,¿Quedarme en casa o salir con mis amigos?
11848,"¿Quién está, mamá o sustituta?"
11684,¿Quién juega conmigo a los juegos divertidos?
99110,¿Quién me apoya y me ayuda a hacer las cosas bien?
23321,¿Quién me ayuda con mis emociones? ¿Quién me ayuda a comprobar que yo no fui el que hizo eso?
7790,¿Quién me defiende en una pelea o discusión?
11716,¿Quién me demuestra amor?
11700,"¿Quién me lude más, mamá o sustituta?"
30841,¿Quién me mantiene económicamente?
19151,¿Quién me preguntará con quién salgo a jugar al fútbol?
111011,¿Quién me protege de otras personas que me lastiman?
10245,"¿Quién me puede ayudar con algo, en problemas, etc.?"
9319,¿Quién pone dinero en mí?
9320,¿Quién pone dinero en mí?
1570,"¿Quién siempre se interesa en saber cómo me siento, cómo me va en algunas de las actividades que realizo, y siempre me recuerda que me quiere?"
5532,¿Quiénes nos protegen de las personas que nos lastiman?
7604,¿Quiénes se preocupan por mí o me defienden?
11394,¿Quiénes se preocupan por mí?
5250,"¿Quiénes siempre están conmigo en lo que necesite, en las buenas o en las malas?"
2302,¿Quiénes siempre hacen todo lo posible por cuidarme?
5309,¿Quieren saber dónde estoy?
1602,¿Saber darme a respetar y llevarme bien con las personas de mi alrededor?
560,¿Se preocupan por mí cuando salgo a la casa de mis amigos y me mandan mensajes para saber si ya voy y si estoy bien?
11597,¿Se preocupan por mí?
5815,¿Se preocupan si comí o no?
7135,¿Se preocupan si ya comí? Están conmigo.
353,¿Sentirme feliz?
210,¿Ser amada?
1033,¿Soy feliz?
11455,"¿Su forma de ser, sus actividades?"
5359,¿Te preguntan cómo estás?
4450,¿Te preguntan cómo estoy? :((
501,¿Tengo tareas pendientes?
918,¿Un partido de fútbol y salir con mis amigos?
18642,¿Vigilarás ir conmigo a fiestas? ¿Salir juntos? Mi primo y yo somos muy unidos.
8358,¿Ya comí? Me lo pregunto ya que estoy.
11951,¿Ya vienes? No tardes.
4104,"""¿Cómo me fue en la mamá sustituta?"""
5269,"""¿Cómo me trata y se expresa hacia mí mi mamá o sustituta?"""
4998,"""¿Cómo me tratan, mamá o sustituta?"""
7747,"""¿Cómo te ha ido hoy?, ¿te gusta la comida?, ¿quieres jugar?, ¿vamos a salir?, ¿quieres un helado?"""
19381,"""¿Cómo, cuando me dicen que no sé hacer las cosas, ya sé algo que me ponen a hacer?"""
5285,"""¿Cuándo se preocupan en dónde estoy y con quién estoy, mamá o sustituta?"""
75111,"""¿Mamá o sustituta?"""
7995,"""¿Mamá o sustituta?"""
11078,"""¿Mamá o sustituta?"""
11079,"""¿Mamá o sustituta?"""
11214,"""¿Mamá o sustituta?"""
11229,"""¿Mamá o sustituta?"""
11239,"""¿Mamá o sustituta?"""
11345,"""¿Mamá o sustituta?"""
7586,"""¿Me hablas, mamá o sustituta?"""
6402,"""¿Me preguntan cómo estoy, mamá o sustituta?"""
8368,"""¿Me preguntan si estoy bien, mamá o sustituta?"""
93910,"""¿Me preguntan si me encuentro bien, mamá o sustituta?"""
11903,"""¿Por qué no me dejan solo en una situación, mamá o sustituta?"""
11806,"""¿Por qué se preocupan por mí, mamá o sustituta?"""
11508,"""¿Por qué, mamá o sustituta?"""
11592,"""¿Por qué, mamá o sustituta?"""
14610,"""¿Puedo aprender a bañarme, comer saludable, etc.?"""
11371,"""¿Qué confías, hermano?"""
110311,"""¿Qué es, mamá o sustituta?"""
11097,"""¿Qué es, mamá o sustituta?"""
11197,"""¿Qué es, mamá o sustituta?"""
112211,"""¿Qué es, mamá o sustituta?"""
11266,"""¿Qué es, mamá o sustituta?"""
11372,"""¿Qué es, mamá o sustituta?"""
11379,"""¿Qué es, mamá o sustituta?"""
11594,"""¿Qué es, mamá o sustituta?"""
11614,"""¿Qué es, mamá o sustituta?"""
11675,"""¿Qué es, mamá o sustituta?"""
11677,"""¿Qué es, mamá o sustituta?"""
11902,"""¿Qué es, mamá o sustituta?"""
3090,"""¿Qué les importa mi vida? Me preguntan de mis amistades y les preocupa que salga."""
11357,"""¿Qué me dicen que está bien, mamá o sustituta?"""
11269,"""¿Qué me dicen que está, Abuela?"""
11713,"""¿Qué me preguntan, tía?"""
11215,"""¿Qué me preguntan? Nadie me cuida."""
7091,"""¿Qué me pregunten cómo estoy? ¿Si ya me dieron de comer? ¿Si me siento mal? Etc."""
11457,"""¿Qué tengo, el catarro, papá o sustituto?"""
11928,"""¿Quién me acompaña, papá o sustituto?"""
5092,"""¿Quién me apoya y respeta mis decisiones, mamá o sustituta?"""
2040,"""¿Quién me cuida bien, mamá o sustituta?"""
4174,"""¿Quién me defiende de las cosas malas y me deja estudiar lo que quiero, como mecánica automotriz, mamá o sustituta?"""
11704,"""¿Quién me demuestra cariño, mamá o sustituta?"""
11730,"""¿Quién me hace reír, mamá o sustituta?"""
11252,"""¿Quién me pregunta, mamá o sustituta?"""
114311,"""¿Quién me pregunta, mamá o sustituta?"""
3167,"""¿Quién me protege o me apoya, mamá o sustituta?"""
106111,"""¿Quién me quiere, me apoya y me cuida, papá o su substituto?"""
11892,"""¿Quién me riega, mamá o sustituta?"""
5743,"""¿Quién me trata bien y se preocupa, mamá o sustituta?"""
11228,"""¿Quién se preocupa más por mí, mamá o sustituta?"""
11729,"""¿Quién se preocupa más por mí, mamá o sustituta?"""
10414,"""¿Quién se preocupa por lo que hago, mamá o sustituta?"""
14114,"""¿Quién se preocupa por mí, mamá o sustituta?"""
11732,"""¿Quién se preocupa por mí, mamá o sustituta?"""
11348,"""¿Se está, mamá o sustituta?"""
101010,"""¿Se preocupan por mí, mamá o sustituta?"""
11375,"""¿Se preocupan por mí, mamá o sustituta?"""
11734,"""¿Se preocupan por saber, mamá o sustituta?"""
11054,"""¿Se refieren a mi mamá o a mi sustituta cuando dicen que siempre se preocupa por mí?"""
10121,"""¿Ser amable?"""
10655,"""A cada rato se me quedan viendo, mamá o sustituta."""
10573,"""A hacerme reír, nadie me cuida."""
13932,"""A mí me hace feliz, mamá, o sustituta."""
11564,"""A veces hablan conmigo mis amigas o yo, mamá o sustituta."""
3547,"""A veces me llevan a pasear, mamá o sustituta""."
119311,"""Abraza a mamá o a la sustituta""."
3481,"""Abrazarme, motivarme a hacer las cosas bien, decirme que no haga malas acciones, etc."""
11212,"""Abrazos y cariño, Mamá o sustituta."""
3844,"""Abrazos, besos y palabras bonitas. Nadie me cuida."""
75511,"""Abrazos, besos, abuela."""
10278,"""Abrazos, besos, Asia, mi felicidad, la de otras personas y el cariño que siento que me da mi familia."""
11724,"""Abrazos, besos, Cari. Mamá"""
35911,"""Abrazos, mamá"" o sustituta."
9345,"""Abrazos, Papá o sustituto."""
7630,"""Abrazos, que me escuchen, besos, mamá o sustituta""."
4632,"""Abrazos, que me pregunten cómo estoy o cosas de afecto cariñoso; mamá o sustituta."""
3779,"""Abuela, ven a recogerme a la escuela""."
4618,"""Abuela."""
4988,"""Abuela."""
5027,"""Abuela"""
10658,"""Advertencias"""
11380,"""Afecto y cariño, abuela."""
11336,"""Afecto, cariño, mamá o sustituta."""
4168,"""Ah, pues, ¿qué me aconsejan? ¿Qué me dicen, 'te quiero' o 'me cuidas'?"""
20231,"""Al darme consejos, defenderme, preocuparse por si estoy bien, mamá o sustituta."""
91010,"""Al hablar conmigo sobre lo que estoy haciendo mal y en entenderme, Mamá o sustituta."""
12701,"""Al rascarme, estar al lado de ellos, mamá o sustituta."""
11881,"""Al saber que me protegen de todo peligro como de pequeño, mamá o sustituta."""
111811,"""Al tener internet, mamá o sustituta."""
3527,"""Algunas"" es demasiado vago para corrección. Necesita más contexto."
29251,"""Amor y comprensión, abuela."""
5489,"""Amor, hermana."""
12211,"""Andar en la calle, en la casa o para ir a la secundaria."""
7606,"""Antes de darles algo a ellos, recuerdan que estoy yo y lo resuelven con palabras, no con golpes."""
3598,"""Apolo"""
4139,"""Apóyame y sé bueno conmigo, papá o sustituto""."
10252,"""Apoyan mis decisiones sobre algún deporte que me guste, mamá o sustituta."""
9598,"""Apoyarme en actividades, mamá o sustituta."""
31521,"""Apoyarme en todo, darme de comer, mamá o sustituta."""
11140,"""Apoyo, papá, o sustituto."""
11897,"""Apreciar, cariño, mamá o sustituta."""
11942,"""Asiendo té, mamá o sustituta."""
11015,"""Ay, nadie me cuida."""
8689,"""Ayúdame con algo y trátame bien."""
11914,"""Besos, abrazos, cari. Mamá o sustituta."""
31112,"""Bien, mamá o sustituta."""
5128,"""Bien"""
6923,"""Bien"""
7030,"""Bien"""
7664,"""Bien"""
11794,"""Bien"""
4127,"""Búscame cuando vaya con mi mejor amigo, mamá o sustituta."""
4128,"""Búscame cuando vaya con mi mejor amigo, mamá o sustituta."""
10958,"""Cada vez que salgo de casa, siempre me llaman o me mandan mensajes para saber cómo estoy. Raramente, mis padres vienen por mí a la escuela, pero cuando lo hacen, me siento bien ya que no voy sola, sino con la compañía de mis padres. :) Abuela."""
11105,"""Cari, mamá o sustituta."""
11152,"""Cari, mamá o sustituta."""
1932,"""Cariño, cuando me dicen 'te quiero'."
5929,"""Cariño"""
5982,"""Cariño"""
11789,"""Casi mis papás, mamá o sustituta."""
5323,"""Comer verduras y hacer ejercicio"", mamá o sustituta."
3256,"""Como cuando mis papás no me dejan salir porque me cuidan de lo que me pueda pasar en la calle o en algún otro lugar."""
11373,"""Compartir momentos felices y que con su compañía, mamá o sustituta."""
11265,"""Con mi semilla, mamá o sustituta."""
11064,"""Con mis papás, mamá o sustituta."""
10853,"""Con su apoyo y su amor por nosotros, Mamá o sustituta"","
25211,"""Confianza y respeto, mamá o sustituta""."
11068,"""Cu, mamá o sustituta."""
11586,"""Cu, mamá o sustituta."""
11748,"""Cu, mamá o sustituta""."
11937,"""Cuando algo está, abuela."""
2137,"""Cuando buscan mi bien en todo sentido y me cuidan lo más que pueden, son papá o un sustituto""."
11767,"""Cuando está mamá o sustituta."""
11926,"""Cuando está mamá o sustituta."""
11173,"""Cuando está, abuela."""
10627,"""Cuando estamos cambiando en la calle, me agarran de la mano."""
11196,"""Cuando esté, hermana""."
11570,"""Cuando haces alguna actividad, hermano."""
4069,"""Cuando hay problemas con más personas al punto de llegar a los golpes, no me dejan solo. Nadie me cuida""."
7114,"""Cuando la persona me dice si algo está bien o no está bien""."
112011,"""Cuando lleva mucho tiempo siguiendo, mamá o sustituta."""
102211,"""Cuando me abrazan o me dicen 'Yo estoy contigo, hermano'"""
10358,"""Cuando me abrazan y me dan besos, tía."""
8804,"""Cuando me abrazan y me dicen que todo estará bien, siempre o casi siempre."""
104311,"""Cuando me abrazan, me dan besos y vamos a comer un helado, abuela."""
11297,"""Cuando me abrazan, se preocupan por mí, me preguntan cómo estoy. Cuando estoy sola, me apoyan y me ponen apodos lindos."""
11187,"""Cuando me abrazas, hermana."""
11164,"""Cuando me acompaña, mamá o sustituta."""
10602,"""Cuando me acompañan a la papelería y está de noche, porque la papelería cerca de mi casa ya está cerrada, lo hacen porque me cuidan y establecen reglas que me hacen sentir segura. Mamá o sustituta."""
21041,"""Cuando me aconsejan, me corrigen, me preguntan cómo me ha ido, o así, hermana""."
11529,"""Cuando me apoyan o incluso cuando siempre están, Mamá o sustituta."""
11530,"""Cuando me apoyan o incluso cuando siempre están, mamá o sustituta""."
7007,"""Cuando me corrige"""
12632,"""Cuando me cuentan las horas, mamá o sustituta."""
3150,"""Cuando me cuidan, mamá o sustituta."""
98310,"""Cuando me dan afecto, mamá o sustituta."""
4272,"""Cuando me dan confianza, mamá o sustituta."""
11793,"""Cuando me dan consejos positivos y muestran su cariño, abuela."""
9747,"""Cuando me dan consejos siento que me quieren mucho, mamá o sustituta."""
12071,"""Cuando me dan dinero para ir a la tienda, o me dan consejos mis amigos y mis hermanos, hermana."""
11074,"""Cuando me defiende de ellos, mamá o sustituta."""
11289,"""Cuando me demuestran cariño, mamá o sustituta."""
11147,"""Cuando me demuestran protección, mamá o sustituta."""
111711,"""Cuando me dicen lo que está, mamá o sustituta."""
11065,"""Cuando me dicen lo que está, mamá o sustituta""."
11123,"""Cuando me dicen lo que no está, mamá o sustituta,"""
5063,"""Cuando me dicen que no consuma nada de lo que me ofrezcan, por ejemplo, drogas."""
11606,"""Cuando me dicen que no está, mamá o sustituta."""
21911,"""Cuando me dicen que no tomé algo que un extraño me dio."""
101510,"""Cuando me dicen que siempre van a estar apoyándome, mamá o sustituta""."
3656,"""Cuando me están apoyando o me están diciendo cosas positivas, hermano""."
11591,"""Cuando me esté, Mamá o sustituta""."
10383,"""Cuando me hacen de comer, mamá o sustituta."""
10140,"""Cuando me hacen sentir bien, abuela""."
13891,"""Cuando me llaman la atención sin hacer nada, mamá o sustituta."""
5724,"""Cuando me lo demuestran de verdad, mamá o sustituta."""
11750,"""Cuando me miran con desagrado, mamá o sustituta."""
3987,"""Cuando me preguntan algo, por ejemplo, cómo fue mi día o qué hice en el día, otra persona"""
12122,"""Cuando me preguntan cómo estoy, mamá o sustituta"","
3889,"""Cuando me preguntan cómo me fue en la escuela, mamá o sustituta,"""
14591,"""Cuando me preguntan cómo me siento cuando me abrazan y me dicen que todo está bien, Mamá o sustituta""."
11557,"""Cuando me preguntan qué escojo, ¿mamá o sustituta?"""
11739,"""Cuando me preguntan qué hago con aquel, nadie me cuida."""
11040,"""Cuando me preguntan si me siento incómodo, contesto: 'Mamá o sustituta'""."
11440,"""Cuando me preguntan, 'Mamá o sustituta',""."
11042,"""Cuando me preguntan, ""Hermana"""
113111,"""Cuando me prohíben las cosas para no salir, daña a mamá o a la sustituta."""
24811,"""Cuando me protegen y me defienden, mamá o sustituta."""
11059,"""Cuando me protegen, están Mamá o sustituta."""
1642,"""Cuando me regalan soda de moras, cuando miramos kdramas, cuando ponen música de Bright Vachirawit."""
11385,"""Cuando me regaña mamá o sustituta""."
11260,"""Cuando me regaña, mamá o sustituta."""
112611,"""Cuando me regaña, mamá o sustituta."""
5272,"""Cuando me regañan por equivocarme en algo que no tiene sentido, mamá o sustituta, corrige los errores."""
110121,"""Cuando me riegas, hermana""."
39121,"""Cuando me sale mal y mis amigas o padres están tratando de hacerme sentir mejor, o cómo mis amigos me hacen sentir mal, siempre o casi siempre."""
10154,"""Cuando me tratan bien y no me hacen daño en lo que saben que me lastima, mamá o sustituta."""
35112,"""Cuando me tratan de cuidar para que me sienta seguro y se preocupan por mí, es mi mamá o una sustituta."""
11127,"""Cuando mi hermano dice, 'Hermana', me da ejemplos."""
12032,"""Cuando mi mamá me ayuda a calmarme de mis enojos y mi papá me lleva a la escuela, hermano."""
11596,"""Cuando mi mamá o sustituta..."""
